iter	RMSE
0	9.012768266
1	8.994866562
2	8.975063538
3	8.954008211
4	8.932249174
5	8.913495284
6	8.892607103
7	8.875666308
8	8.856300282
9	8.83396612
10	8.814985596
11	8.798630044
12	8.777170005
13	8.757539541
14	8.741720245
15	8.724032845
16	8.705363408
17	8.687035294
18	8.669122602
19	8.648495441
20	8.630150241
21	8.606029974
22	8.586075101
23	8.567882314
24	8.549271156
25	8.531492583
26	8.515621983
27	8.496129144
28	8.475480242
29	8.45938929
30	8.440032155
31	8.419708494
32	8.403700016
33	8.387552101
34	8.371077206
35	8.350760049
36	8.330715737
37	8.311568293
38	8.290755224
39	8.272923172
40	8.254624818
41	8.237175341
42	8.218145786
43	8.200468248
44	8.182534446
45	8.164005191
46	8.144586793
47	8.130223939
48	8.112369463
49	8.092275258
50	8.074753448
51	8.05997596
52	8.042312134
53	8.026319038
54	8.008934025
55	7.989981688
56	7.973470465
57	7.954990234
58	7.940123788
59	7.924911116
60	7.909621084
61	7.889336318
62	7.873307984
63	7.857487661
64	7.841362847
65	7.825836139
66	7.808122881
67	7.790346845
68	7.77217152
69	7.752854633
70	7.737115255
71	7.724419687
72	7.70929264
73	7.692199658
74	7.67832648
75	7.657050502
76	7.644744359
77	7.628088719
78	7.61199858
79	7.595992486
80	7.579403589
81	7.563738955
82	7.548408383
83	7.532520732
84	7.513163791
85	7.498250919
86	7.483386015
87	7.466170927
88	7.45025016
89	7.43734344
90	7.42276341
91	7.408797441
92	7.390885431
93	7.377255783
94	7.362124305
95	7.347451271
96	7.329937435
97	7.311773152
98	7.299629247
99	7.285603457
100	7.270764619
101	7.258082529
102	7.241049399
103	7.221762695
104	7.207479734
105	7.192493343
106	7.178398677
107	7.163471064
108	7.145431249
109	7.131037018
110	7.119588302
111	7.105305004
112	7.090277244
113	7.075047702
114	7.060444179
115	7.044496293
116	7.031326493
117	7.017891241
118	7.003164089
119	6.986422186
120	6.971233956
121	6.957924409
122	6.942314191
123	6.927270795
124	6.914321343
125	6.90016011
126	6.888569518
127	6.874303631
128	6.860606588
129	6.844027111
130	6.829789542
131	6.816323644
132	6.803966307
133	6.791406294
134	6.778994366
135	6.76070478
136	6.747881174
137	6.734790175
138	6.722498858
139	6.711104592
140	6.698669292
141	6.684031604
142	6.671151593
143	6.659573745
144	6.648582105
145	6.634402145
146	6.62068791
147	6.606481663
148	6.594744939
149	6.582289196
150	6.568870759
151	6.556652839
152	6.541440046
153	6.53052052
154	6.518261058
155	6.504871512
156	6.494105052
157	6.481692653
158	6.470562438
159	6.456956348
160	6.444918841
161	6.432707228
162	6.42074228
163	6.406493109
164	6.394740694
165	6.38292766
166	6.371328995
167	6.35955468
168	6.348391633
169	6.338735171
170	6.325102698
171	6.31091328
172	6.300413547
173	6.286778574
174	6.276895198
175	6.265618629
176	6.252985561
177	6.241623061
178	6.228391577
179	6.218503498
180	6.207194248
181	6.196940027
182	6.186090465
183	6.174026249
184	6.162739833
185	6.153453869
186	6.139003636
187	6.128166802
188	6.11551112
189	6.104906609
190	6.095398514
191	6.081935638
192	6.06904172
193	6.056866934
194	6.045324223
195	6.032970079
196	6.021741991
197	6.01177571
198	6.000624203
199	5.989204855
200	5.978574593
201	5.966934202
202	5.954535494
203	5.94477007
204	5.935526964
205	5.923390147
206	5.912099462
207	5.897922102
208	5.886931386
209	5.8765699
210	5.866241654
211	5.855322609
212	5.846208073
213	5.833334714
214	5.824003837
215	5.811544967
216	5.802073793
217	5.790978405
218	5.78289736
219	5.770095978
220	5.760069303
221	5.751801753
222	5.741247664
223	5.731499872
224	5.722687526
225	5.712878109
226	5.703243209
227	5.694387084
228	5.683358464
229	5.67418678
230	5.661038373
231	5.652126418
232	5.642421222
233	5.631147233
234	5.620900429
235	5.609462491
236	5.600239798
237	5.589994273
238	5.580106914
239	5.571356196
240	5.561021857
241	5.552467308
242	5.54113109
243	5.531494244
244	5.521870656
245	5.51112964
246	5.500669766
247	5.490891288
248	5.48048743
249	5.472253263
250	5.464034045
251	5.454574744
252	5.445383386
253	5.436252786
254	5.426013182
255	5.418527273
256	5.409664516
257	5.40083594
258	5.392156998
259	5.384332883
260	5.374724518
261	5.364030766
262	5.356159052
263	5.345154508
264	5.336965753
265	5.327749457
266	5.318952834
